filename,word_count,line_count,space_count,tab_count,brace_count,bracket_count,length
,1,0,0,0,0,0,1
.DS_Store,15240,2645,433,2669,277,4559,4915204
1000188_raw_html.txt,3100,1085,13139,92,30,64,54744
1000326_raw_html.txt,5137,1345,13408,629,109,271,72969
1000542_raw_html.txt,6607,2376,26318,395,57,144,91394
1000638_raw_html.txt,1310,493,5353,45,4,32,19538
1000662_raw_html.txt,5590,1691,22853,0,252,427,89024
1000740_raw_html.txt,3798,1097,11521,33,14,42,50022
1000800_raw_html.txt,4327,1906,19988,49,10,27,63806
1000854_raw_html.txt,4895,1965,16452,387,137,370,86497
1000860_raw_html.txt,3968,1993,23172,0,114,75,66992
1001034_raw_html.txt,6866,1878,20621,138,28,118,100253
1001046_raw_html.txt,13562,2803,42663,641,45,456,234686
1001058_raw_html.txt,12923,5000,53820,0,91,113,222311
1001118_raw_html.txt,2956,907,6976,241,53,168,42739
1001124_raw_html.txt,8101,2169,32191,0,273,312,156497
1001136_raw_html.txt,3726,1745,16981,12,13,46,70419
1001232_raw_html.txt,3542,753,8860,20,24,34,46743
1001292_raw_html.txt,2559,782,11907,8,5,7,39966
1001322_raw_html.txt,6136,1890,20061,266,47,198,95906
100134_raw_html.txt,3928,1368,16124,156,23,83,71393
1001358_raw_html.txt,2989,1322,10964,58,7,28,49285
1001370_raw_html.txt,4302,1747,16782,8,98,284,81453
100140_raw_html.txt,3141,1031,9521,209,58,118,49766
1001544_raw_html.txt,2080,925,7760,11,5,4,37602
1001664_raw_html.txt,3194,504,5849,110,242,199,64183
1001670_raw_html.txt,4641,210,15375,6,4,8,21157
100170_raw_html.txt,3271,1153,12650,27,50,79,47195
1001730_raw_html.txt,8270,2539,33409,211,278,658,144941
100182_raw_html.txt,2951,938,9403,18,29,177,46055
1002222_raw_html.txt,26085,658,102973,11,102,389,133614
1002306_raw_html.txt,5807,1961,16806,238,100,353,86225
1002312_raw_html.txt,5271,2285,29332,6,59,181,100101
1002336_raw_html.txt,3078,935,7535,82,53,54,29276
1002360_raw_html.txt,700,225,1069,39,82,34,15143
