form_count,div_count,samp_count,ol_count,h3_count,link_count,figcaption_count,object_count,u_count,track_count,dd_count,code_count,h6_count,h4_count,li_count,em_count,progress_count,paragraph_count,select_count,header_count,button_count,caption_count,sub_count,dir_count,small_count,dialog_count,time_count,map_count,col_count,main_count,input_count,style_count,tr_count,dt_count,dl_count,filename,bold_count,tfoot_count,section_count,ins_count,source_count,td_count,output_count,h2_count,span_count,aside_count,textarea_count,blockquote_count,datalist_count,svg_count,mark_count,iframe_count,image_count,wbr_count,del_count,tbody_count,hr_count,meter_count,footer_count,colgroup_count,optgroup_count,article_count,thead_count,a_count,abbr_count,br_count,font_count,option_count,table_count,legend_count,th_count,area_count,noscript_count,script_count,canvas_count,keygen_count,bdi_count,video_count,h5_count,summary_count,pre_count,s_count,quotation_count,fieldset_count,audio_count,strong_count,bdo_count,address_count,nav_count,menu_count,label_count,kbd_count,h1_count,dfn_count,sup_count,cite_count,embed_count,details_count,i_count,var_count,figure_count,param_count,menuitem_count,ul_count
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.DS_Store,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000043_raw_html.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,261,0,0,4,13,0,0,0,0,0,0,0,14,119,0,0,28,0,3,7,0,0,0,0,0,0,0,0,0,19,3,0,0,0,1000097_raw_html.txt,6,0,0,0,0,0,0,14,81,22,0,1,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,10,22,0,0,0,0,8,0,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,0,0,1,0,1,0,0,26
1,181,0,0,0,10,0,0,0,0,0,0,0,0,18,0,0,1,0,1,0,0,0,0,0,0,9,0,0,0,1,1,0,0,0,1000253_raw_html.txt,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,4
2,128,0,0,0,11,0,0,0,0,0,0,0,0,93,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,100025_raw_html.txt,3,0,0,3,0,0,0,6,38,0,1,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,1,41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,8
3,232,0,0,3,20,0,0,0,0,0,0,0,0,32,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,15,0,0,0,1000313_raw_html.txt,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,2,40,0,0,0,0,0,1,0,0,1,0,74,0,0,0,0,0,0,0,0,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7
0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000319_raw_html.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,120,0,0,2,10,15,0,0,0,0,0,0,1,4,0,0,0,0,1,22,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1000325_raw_html.txt,0,0,3,0,0,0,0,1,48,0,0,1,0,2,0,0,23,0,0,0,3,0,1,0,0,1,0,30,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,17,0,0,1
1,125,0,0,2,7,0,0,0,0,23,0,0,1,260,0,0,26,3,0,0,0,0,0,0,0,0,0,0,0,61,1,32,18,16,1000493_raw_html.txt,20,0,0,0,0,145,0,0,136,0,3,0,0,0,0,1,36,0,1,3,0,0,0,0,0,0,0,343,0,0,0,250,5,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51
1,74,0,0,0,1,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1000553_raw_html.txt,0,0,0,0,0,0,0,4,23,0,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
5,875,0,1,0,6,0,0,0,0,0,0,0,25,52,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,7,6,10,0,0,1000619_raw_html.txt,0,0,0,0,0,86,0,0,727,0,0,0,0,0,0,0,34,0,0,0,27,0,0,0,0,0,0,357,0,0,0,61,2,0,0,1,2,34,0,0,0,0,25,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,129,0,0,0,0,8
1,110,0,0,0,5,0,2,0,0,0,0,0,0,46,0,0,20,0,1,11,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1000649_raw_html.txt,0,0,0,2,0,0,0,0,33,0,1,0,0,0,0,1,9,0,0,0,0,0,1,0,0,14,0,69,0,0,0,0,0,0,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,10
2,114,0,0,1,14,0,0,0,0,0,0,0,1,77,1,0,5,0,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1000673_raw_html.txt,1,0,12,0,0,0,0,2,46,1,0,0,0,0,0,1,33,0,0,0,0,0,2,0,0,15,0,146,0,0,0,0,0,0,0,0,14,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,24,0,0,0,0,0,43,0,11,0,0,13
3,221,0,0,3,11,0,0,0,0,0,0,0,0,67,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,26,0,3,0,0,1000769_raw_html.txt,0,0,0,0,0,10,0,2,47,0,0,0,0,0,0,5,2,0,0,1,0,0,0,0,0,0,0,74,0,0,0,3,5,0,0,0,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,11
1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,5,2,16,0,0,1000955_raw_html.txt,26,0,0,0,0,16,0,1,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3,130,0,2,0,5,0,0,0,0,2,0,6,1,64,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1000985_raw_html.txt,0,0,5,0,0,0,0,0,59,2,0,0,0,6,0,1,34,0,0,0,2,0,1,0,0,1,0,101,0,0,0,0,0,0,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,11,0,0,0,0,10
1,103,0,0,9,15,0,0,0,0,0,0,0,1,46,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1001021_raw_html.txt,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,8,58,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,10
2,43,0,0,1,19,0,0,0,0,0,1,0,2,42,6,0,28,0,2,0,1,0,0,1,0,0,0,0,0,10,1,7,0,0,1001045_raw_html.txt,0,1,5,3,0,36,0,8,9,5,1,2,0,0,0,0,11,0,0,1,5,0,2,0,0,1,1,49,1,0,0,0,1,0,7,0,0,27,0,0,0,0,2,0,0,0,0,0,0,30,0,0,1,0,5,0,2,0,1,0,0,0,0,0,2,0,0,10
8,483,0,0,5,3,0,0,0,0,0,0,0,0,271,0,0,176,3,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,1001153_raw_html.txt,0,0,0,0,0,0,0,1,14,0,3,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,595,0,0,0,14,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44
